name,latitude,longitude
Asil Ocakbaşı,37.9197885,40.2199526
Kokoreççi Suat Usta,37.9207015,40.219398
@diyarbakirshemale #diyarbakirekin,37.9220121,40.2209223
Fatih kebap salonu,37.91620229999999,40.2123803
Komagene Diyarbakır Fırat Mahallesi Fırat Bulvarı (Stad Yolu),37.9364652,40.1461337
Erdem Yemek Fabrikasi,37.9368226,40.1623272
Çiğköfteci Ömer Usta,37.9355397,40.1445869
The North Shield Diyarbakır,37.9278925,40.1705187
içkale kahvaltı cafe,37.9151927,40.2399435
Janya Cafe,37.9208191,40.221225
Domino's Pizza Yenişehir,37.9202993,40.2196857
TOSTÇU SALİH USTA Diyarbakır/Yenişehir,37.9159739,40.2216259
Saraçoğlu Börek,37.9185547,40.2202201
Ileyna Ocakbaşi,37.9164529,40.2152122
KARDEŞLER TOST EVI,37.9229378,40.2058074
Ciğerci Hacı Babanın Yeri,37.9251104,40.2069863
Șehir teras diyarbakır,37.9249733,40.2109826
Tarihi Ortaköy kumpircisi Diyarbakir,37.9330718,40.1366789
Diyarbakır Kıraathanesi,37.9222115,40.2030855
Arzu Ev Yemekleri Bağlar,37.9174814,40.2093147
Diyarbakır Lahmacun Merkezi,37.9119376,40.2362013
Meşhur Adıyaman Çiğköftecisi Ömer Aybak,37.9209387,40.2192728
Bereket Ekmek Fırını,37.9291316,40.20754609999999
Gazioğlu Baklavacısı,37.9188509,40.2202545
Diyarbakır Kültür Evi,37.9133578,40.2356098
Kıvırcığı Sofrası,37.915538,40.236605
Yaprak Lahmacun,37.9371304,40.1924243
Çetinler Yemek Fabrikası,37.9380962,40.2137515
Sultan Ocakbaşı,37.9169352,40.2336095
Fileto,37.9178763,40.2209858
Burger King,37.9428483,40.1867269
Pepûle Mitbex,37.9455857,40.1781942
ciğerci baba,37.9053044,40.2198191
Öz ciğerci abe,37.9149277,40.2349001
Hasanpaşa Kahvaltı Evi,37.9126534,40.2371196
Komagene Diclekent Bulvarı,37.94534489999999,40.1833376
Bereket Ocakbaşı,37.9360217,40.20074049999999
Can Kıraathanesi,37.9144253,40.214447
Çiğköfteci Hacı Siraç Diclekent,37.9515421,40.1714341
Uhud pişirme,37.9311721,40.14492389999999
Doğanay Tantuni,37.9203027,40.2196808
Damla Yemek Catering,37.936533,40.2045884
Dalar Yemek Fabrikasi,37.9390033,40.1987613
Kristal Yemek,37.9241939,40.1971976
"Elit Lahmacun, kebap salonu",37.9286848,40.1740122
Class Yemek,37.9199859,40.2083587
Diyarbakır Ciğercisi,37.9483557,40.1776609
Buğurlar Sofra Salonu,37.9179362,40.2210639
Damak Kervanı Yemek ve Paça Salınu,37.9186312,40.23183179999999
Veysel kebap,37.9473281,40.1812483
Midyeci Ahmet,37.9448835,40.1593534
Dalyan Usta Aydoğdu Yemek Fabrikasi,37.9376278,40.1940596
The Hunger Ceylan Karavil,37.9269667,40.1712009
Baydöner,37.934416,40.202573
gurme,37.9144099,40.230629
"Edecan Diyarbakır Kebap, Lahmacun ve Pide Salonu",37.9566925,40.1707885
Bilen Kavurmacım,37.9377328,40.1391347
Namlı Lahmacun & Pide,37.9522058,40.1710685
Ciğerim Ocakbaşı,37.9150388,40.2370103
Ciğerci Diyadin usta,37.9224456,40.1541388
Sinan Et Lokantası,37.9156979,40.2370621
Arkadaş Paça Salonu,37.9059643,40.2150702
MEHMET USTA LAHMACUN PİDE & ET DÖNER DÜNYASI,37.9176124,40.220646
MİS TANTUNİ DİCLEKENT,37.9512641,40.1732834
Hasankeyf lokantası,37.9143799,40.231519
Ciğerci Muharrem Usta 75,37.9285688,40.1514666
Nur Ocakbaşı Kayapınar,37.9263993,40.1654094
Big Baker,37.9292483,40.1708366
Tabier Lahmacun Pide & Kebap Salonu,37.9261385,40.1719361
İNCEUSTA,37.9578583,40.1814872
Muharrem Ustanın Yeri,37.9213843,40.2189515
Şah Sofra Salonu,37.9351758,40.1438926
Özkan Usta Fastfood Cadde 75 Şubesi,37.9277377,40.1544275
Çamlıca yemek fabrikası,37.9170975,40.2329369
"İskender Paşa Konağı- Kafe, Kahvaltı, Yemek, Nargile",37.9128489,40.2327873
Amedîtan,37.9080391,40.2358301
Şev u Roj Et Lokantası,37.9866461,40.14177919999999
Yeditepe Yemek Fabrikası,37.891565,40.2221267
Çıtır Usta Diyarbakır,37.9573413,40.1828592
Meşe Steakhouse Bağcılar,37.9209574,40.1725602
Bursa kebap evi,37.9284813,40.1706307
Acar Yemek,37.9176902,40.2317809
Kasabın Yeri,37.9357826,40.2037975
Amed yemek fabrikası,37.93446,40.1992358
",",37.918674,40.221504
Miro Ev Yemekleri & Kahvalti,37.9226636,40.2211538
Diyarbakır Mahalli Yemekler Sofrası,37.8774557,40.2200178
Tanrıverdi yemek fabrikası,37.9353855,40.1950036
Tekeşler Yemek Fabrikasi,37.9395966,40.1828252
Kardelen Yemek Fabrikası,37.9274447,40.205689
Gülzar Yemek,37.9144099,40.230629
Lezzet Yöresel Ev Yemekleri,37.9164194,40.2297046
HALK YEMEK FABRIKASI,37.9293039,40.1826908
Anzele Paça Yemek 75,37.9451474,40.1609952
Medern Yemek,37.9337383,40.2030314
ELİT YEMEK FABRİKASI,37.9213288,40.185877
Erdem yemek,37.9185876,40.131344
Bulun Yemek Fabrikası ve Tabildot,37.9323954,40.1940304
Arzu Ev Yemekleri,37.9187425,40.221977
SARI YEMEK FABRİKASİ,37.9427591,40.1893549
Yemek Fabrikası,37.927496,40.184619
YUSUFOĞULLARI SATAR YEMEK FABRİKASI,37.9494571,40.1779202
Amed Yemek Fabrikası,37.9418298,40.1901044
Şadiye Ev Yemekleri,37.95239,40.1715261
A La Feyzz Yemek,37.942104,40.1725862
Üstad yemek,37.91701279999999,40.1659797
Yılmazlar yemek fabrikası,37.9339811,40.1727659
Tokçana Lahmacun Kebap& Sulu Yemek,37.9203268,40.1996916
Helin Yemek Salonu,37.9422073,40.1696939
Uğur Yemek Çiğer & Paca Salonu,37.9286865,40.174008
Çetinler Yemek Farikası,37.933367,40.1389884
Bi Yemek'S,37.9257012,40.1621034
